type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand,geometry,index_right,Stadtteil_Nummer,Stadtteil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.101725969,geom,Polygon,"[[[455848.9770598, 5428434.5537653], [455750.69134588, 5428304.55376538], [455758.97705987, 5428298.26805139], [455859.54848779, 5428425.69662231], [455848.9770598, 5428434.5537653]]]",,,101725969,Karlsruhe,2026-04-29T22:00:00Z,2026-10-31T22:59:59Z,Strom bzw. TK-Versorgung,Herrenstraße zw. Karlstor und Amalienstraße,,Stadtwerke Karlsruhe,Aufteilung nicht vorgenommen,mit Verkehrsbehinderung,22525,2019V3692,Stadt Karlsruhe,2025-07-27T22:00:00Z,"POLYGON ((455848.97706 5428434.553765, 455750.691346 5428304.553765, 455758.97706 5428298.268051, 455859.548488 5428425.696622, 455848.97706 5428434.553765))",14,021,Östlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102244740,geom,Polygon,"[[[455200.31430834, 5428615.9673782], [455198.74717134, 5428620.26948919], [455199.53288634, 5428631.51948919], [455201.31860034, 5428653.26948918], [455202.92574334, 5428673.73377517], [455204.27484034, 5428690.44569516], [455205.27484034, 5428703.37426715], [455208.34626834, 5428703.26712415], [455208.98912634, 5428707.40998115], [455215.06055433, 5428707.19569515], [455215.48912633, 5428709.69569514], [455205.88198334, 5428710.26712414], [455207.17431734, 5428716.99659514], [455208.36489734, 5428720.73841814], [455210.34919734, 5428749.70919812], [455188.91875735, 5428751.86358112], [455186.99115135, 5428730.71661213], [455201.90174834, 5428728.16536913], [455199.80406034, 5428706.73492915], [455199.01034034, 5428694.94251815], [455196.51579135, 5428663.76066117], [455194.70157435, 5428639.94906119], [455192.77396835, 5428616.4209322], [455200.31430834, 5428615.9673782]]]",,,102244740,Karlsruhe,2026-07-29T22:00:00Z,2026-10-16T21:59:59Z,Fernwärmeversorgung,Reinhold-Frank-Straße zwischen Belfortstraße und Kaiserallee,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40847,2024V5284,Stadt Karlsruhe,2025-10-05T22:00:00Z,"POLYGON ((455200.314308 5428615.967378, 455198.747171 5428620.269489, 455199.532886 5428631.519489, 455201.3186 5428653.269489, 455202.925743 5428673.733775, 455204.27484 5428690.445695, 455205.27484 5428703.374267, 455208.346268 5428703.267124, 455208.989126 5428707.409981, 455215.060554 5428707.195695, 455215.489126 5428709.695695, 455205.881983 5428710.267124, 455207.174317 5428716.996595, 455208.364897 5428720.738418, 455210.349197 5428749.709198, 455188.918757 5428751.863581, 455186.991151 5428730.716612, 455201.901748 5428728.165369, 455199.80406 5428706.734929, 455199.01034 5428694.942518, 455196.515791 5428663.760661, 455194.701574 5428639.949061, 455192.773968 5428616.420932, 455200.314308 5428615.967378))",43,022,Westlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102244740,geom,Polygon,"[[[455200.31430834, 5428615.9673782], [455198.74717134, 5428620.26948919], [455199.53288634, 5428631.51948919], [455201.31860034, 5428653.26948918], [455202.92574334, 5428673.73377517], [455204.27484034, 5428690.44569516], [455205.27484034, 5428703.37426715], [455208.34626834, 5428703.26712415], [455208.98912634, 5428707.40998115], [455215.06055433, 5428707.19569515], [455215.48912633, 5428709.69569514], [455205.88198334, 5428710.26712414], [455207.17431734, 5428716.99659514], [455208.36489734, 5428720.73841814], [455210.34919734, 5428749.70919812], [455188.91875735, 5428751.86358112], [455186.99115135, 5428730.71661213], [455201.90174834, 5428728.16536913], [455199.80406034, 5428706.73492915], [455199.01034034, 5428694.94251815], [455196.51579135, 5428663.76066117], [455194.70157435, 5428639.94906119], [455192.77396835, 5428616.4209322], [455200.31430834, 5428615.9673782]]]",,,102244740,Karlsruhe,2026-07-29T22:00:00Z,2026-10-16T21:59:59Z,Fernwärmeversorgung,Reinhold-Frank-Straße zwischen Belfortstraße und Kaiserallee,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40847,2024V5284,Stadt Karlsruhe,2025-10-05T22:00:00Z,"POLYGON ((455200.314308 5428615.967378, 455198.747171 5428620.269489, 455199.532886 5428631.519489, 455201.3186 5428653.269489, 455202.925743 5428673.733775, 455204.27484 5428690.445695, 455205.27484 5428703.374267, 455208.346268 5428703.267124, 455208.989126 5428707.409981, 455215.060554 5428707.195695, 455215.489126 5428709.695695, 455205.881983 5428710.267124, 455207.174317 5428716.996595, 455208.364897 5428720.738418, 455210.349197 5428749.709198, 455188.918757 5428751.863581, 455186.991151 5428730.716612, 455201.901748 5428728.165369, 455199.80406 5428706.734929, 455199.01034 5428694.942518, 455196.515791 5428663.760661, 455194.701574 5428639.949061, 455192.773968 5428616.420932, 455200.314308 5428615.967378))",34,052,Südlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102132432,geom,Polygon,"[[[460090.83519126, 5427778.35737768], [460168.6203332, 5427755.97412869], [460170.06373319, 5427753.30382869], [460169.5843222, 5427751.67420769], [460175.99365619, 5427749.7961137], [460177.62443319, 5427755.32442869], [460178.45833319, 5427755.79702869], [460204.92313317, 5427748.1831287], [460205.38903317, 5427747.44442869], [460204.03583317, 5427742.6199287], [460210.23125616, 5427740.8333767], [460211.13547016, 5427743.7748357], [460213.63913316, 5427742.9498287], [460222.82081315, 5427740.2448777], [460247.54243313, 5427733.3100287], [460250.99193313, 5427730.87462871], [460252.96603313, 5427728.32382871], [460260.35864412, 5427732.5437527], [460258.51593312, 5427735.0882287], [460256.85793312, 5427737.1495287], [460254.93823312, 5427738.7919287], [460252.71833313, 5427740.0333287], [460250.39853313, 5427741.0878287], [460205.76373317, 5427754.24762869], [460131.07323323, 5427775.81742868], [460128.39673323, 5427777.08832868], [460126.91444423, 5427778.54006668], [460112.79873324, 5427782.40632868], [460109.77183325, 5427781.35202867], [460105.99913325, 5427781.39792868], [460100.17512225, 5427783.03907068], [460094.78491126, 5427784.60605967], [460092.80827126, 5427785.18058267], [460091.27748326, 5427779.89454868], [460090.83519126, 5427778.35737768]]]",,,102132432,Karlsruhe,2026-08-02T22:00:00Z,2026-09-06T21:59:59Z,Straßenbau,Johann-Strauß-Straße zw. Anton-Bruckner-Straße und Zufahrt K 9659 (ehem. B 10),,Tiefbauamt,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Verkehrsbehinderung,12438,2022V5259,Stadt Karlsruhe,2025-05-19T22:00:00Z,"POLYGON ((460090.835191 5427778.357378, 460168.620333 5427755.974129, 460170.063733 5427753.303829, 460169.584322 5427751.674208, 460175.993656 5427749.796114, 460177.624433 5427755.324429, 460178.458333 5427755.797029, 460204.923133 5427748.183129, 460205.389033 5427747.444429, 460204.035833 5427742.619929, 460210.231256 5427740.833377, 460211.13547 5427743.774836, 460213.639133 5427742.949829, 460222.820813 5427740.244878, 460247.542433 5427733.310029, 460250.991933 5427730.874629, 460252.966033 5427728.323829, 460260.358644 5427732.543753, 460258.515933 5427735.088229, 460256.857933 5427737.149529, 460254.938233 5427738.791929, 460252.718333 5427740.033329, 460250.398533 5427741.087829, 460205.763733 5427754.247629, 460131.073233 5427775.817429, 460128.396733 5427777.088329, 460126.914444 5427778.540067, 460112.798733 5427782.406329, 460109.771833 5427781.352029, 460105.999133 5427781.397929, 460100.175122 5427783.039071, 460094.784911 5427784.60606, 460092.808271 5427785.180583, 460091.277483 5427779.894549, 460090.835191 5427778.357378))",54,192,Dornwald-Untermühl
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102135581,geom,Polygon,"[[[452992.4506392, 5430304.86442721], [452988.9688392, 5430296.51682721], [453009.06233918, 5430282.20732722], [453027.60263917, 5430266.58022723], [453026.83973917, 5430257.50592724], [453032.20483916, 5430254.71402724], [453038.29463916, 5430257.06512724], [453049.72853915, 5430248.59322724], [453129.55663908, 5430181.81172728], [453130.44483008, 5430175.80649328], [453133.51683908, 5430173.51562728], [453137.02743907, 5430174.99902729], [453151.50427006, 5430163.79213629], [453227.592339, 5430099.54252733], [453226.638212, 5430092.59983733], [453231.85013899, 5430091.09272733], [453235.65063899, 5430092.40322733], [453254.01054398, 5430078.01807334], [453322.78903892, 5430020.23332738], [453322.23781592, 5430014.42509338], [453325.54143892, 5430011.69292738], [453328.20283891, 5430013.60852738], [453332.97823891, 5430012.13852738], [453376.89103887, 5429975.4715274], [453419.73433884, 5429939.72342742], [453438.01305682, 5429924.32988843], [453477.74563879, 5429890.08152745], [453519.95355775, 5429852.88701148], [453538.77143874, 5429837.04602748], [453545.04010073, 5429832.90294249], [453549.45503873, 5429841.95892748], [453536.40113874, 5429845.44220848], [453457.5277748, 5429912.66714844], [453349.9592219, 5430002.10594739], [453315.88702192, 5430030.09019037], [453184.29070203, 5430141.46122431], [453141.34607907, 5430176.75235028], [453139.15824307, 5430181.69950328], [453134.61739008, 5430185.42183628], [453129.89275008, 5430185.53432728], [453106.4945331, 5430205.10783627], [453037.30366516, 5430262.23328423], [452998.04028219, 5430295.34321621], [452992.4506392, 5430304.86442721]]]",,,102135581,Karlsruhe,2026-07-29T22:00:00Z,2027-07-31T21:59:59Z,Gas bzw. Wasserversorgung,Siemensallee zwischen B36/ Neureuter Straße und Hertzstraße,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,40810,2022V5679,Stadt Karlsruhe,2025-09-16T22:00:00Z,"POLYGON ((452992.450639 5430304.864427, 452988.968839 5430296.516827, 453009.062339 5430282.207327, 453027.602639 5430266.580227, 453026.839739 5430257.505927, 453032.204839 5430254.714027, 453038.294639 5430257.065127, 453049.728539 5430248.593227, 453129.556639 5430181.811727, 453130.44483 5430175.806493, 453133.516839 5430173.515627, 453137.027439 5430174.999027, 453151.50427 5430163.792136, 453227.592339 5430099.542527, 453226.638212 5430092.599837, 453231.850139 5430091.092727, 453235.650639 5430092.403227, 453254.010544 5430078.018073, 453322.789039 5430020.233327, 453322.237816 5430014.425093, 453325.541439 5430011.692927, 453328.202839 5430013.608527, 453332.978239 5430012.138527, 453376.891039 5429975.471527, 453419.734339 5429939.723427, 453438.013057 5429924.329888, 453477.745639 5429890.081527, 453519.953558 5429852.887011, 453538.771439 5429837.046027, 453545.040101 5429832.902942, 453549.455039 5429841.958927, 453536.401139 5429845.442208, 453457.527775 5429912.667148, 453349.959222 5430002.105947, 453315.887022 5430030.09019, 453184.290702 5430141.461224, 453141.346079 5430176.75235, 453139.158243 5430181.699503, 453134.61739 5430185.421836, 453129.89275 5430185.534327, 453106.494533 5430205.107836, 453037.303665 5430262.233284, 452998.040282 5430295.343216, 452992.450639 5430304.864427))",50,082,Weingärtensiedlung
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248527,geom,Polygon,"[[[454935.67223755, 5426740.0632293], [454928.47763756, 5426700.48282933], [455033.73413747, 5426666.30102935], [455108.40333741, 5426627.61932937], [455242.44783729, 5426553.85132941], [455367.48453719, 5426495.38512945], [455525.80963706, 5426445.91122948], [455536.60543705, 5426485.49152945], [455383.67683718, 5426532.26612943], [455259.53933728, 5426592.53012939], [455126.39353739, 5426665.39922935], [455044.52693746, 5426706.77992933], [454935.67223755, 5426740.0632293]]]",,,102248527,Karlsruhe,2025-11-22T23:00:00Z,2025-11-28T22:59:59Z,Tunnelwartung,K 9675 zw. AS3 und AS4 (Edeltrudtunnel),,Tiefbauamt,Ausführung jeweils zw. 22.00 und 5.00 Uhr,mit Vollsperrung,44411,2024V5696,Stadt Karlsruhe,2025-09-24T22:00:00Z,"POLYGON ((454935.672238 5426740.063229, 454928.477638 5426700.482829, 455033.734137 5426666.301029, 455108.403337 5426627.619329, 455242.447837 5426553.851329, 455367.484537 5426495.385129, 455525.809637 5426445.911229, 455536.605437 5426485.491529, 455383.676837 5426532.266129, 455259.539337 5426592.530129, 455126.393537 5426665.399229, 455044.526937 5426706.779929, 454935.672238 5426740.063229))",29,141,Weiherfeld
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248527,geom,Polygon,"[[[454935.67223755, 5426740.0632293], [454928.47763756, 5426700.48282933], [455033.73413747, 5426666.30102935], [455108.40333741, 5426627.61932937], [455242.44783729, 5426553.85132941], [455367.48453719, 5426495.38512945], [455525.80963706, 5426445.91122948], [455536.60543705, 5426485.49152945], [455383.67683718, 5426532.26612943], [455259.53933728, 5426592.53012939], [455126.39353739, 5426665.39922935], [455044.52693746, 5426706.77992933], [454935.67223755, 5426740.0632293]]]",,,102248527,Karlsruhe,2025-11-22T23:00:00Z,2025-11-28T22:59:59Z,Tunnelwartung,K 9675 zw. AS3 und AS4 (Edeltrudtunnel),,Tiefbauamt,Ausführung jeweils zw. 22.00 und 5.00 Uhr,mit Vollsperrung,44411,2024V5696,Stadt Karlsruhe,2025-09-24T22:00:00Z,"POLYGON ((454935.672238 5426740.063229, 454928.477638 5426700.482829, 455033.734137 5426666.301029, 455108.403337 5426627.619329, 455242.447837 5426553.851329, 455367.484537 5426495.385129, 455525.809637 5426445.911229, 455536.605437 5426485.491529, 455383.676837 5426532.266129, 455259.539337 5426592.530129, 455126.393537 5426665.399229, 455044.526937 5426706.779929, 454935.672238 5426740.063229))",0,132,Bulach
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248527,geom,Polygon,"[[[454935.67223755, 5426740.0632293], [454928.47763756, 5426700.48282933], [455033.73413747, 5426666.30102935], [455108.40333741, 5426627.61932937], [455242.44783729, 5426553.85132941], [455367.48453719, 5426495.38512945], [455525.80963706, 5426445.91122948], [455536.60543705, 5426485.49152945], [455383.67683718, 5426532.26612943], [455259.53933728, 5426592.53012939], [455126.39353739, 5426665.39922935], [455044.52693746, 5426706.77992933], [454935.67223755, 5426740.0632293]]]",,,102248527,Karlsruhe,2025-11-22T23:00:00Z,2025-11-28T22:59:59Z,Tunnelwartung,K 9675 zw. AS3 und AS4 (Edeltrudtunnel),,Tiefbauamt,Ausführung jeweils zw. 22.00 und 5.00 Uhr,mit Vollsperrung,44411,2024V5696,Stadt Karlsruhe,2025-09-24T22:00:00Z,"POLYGON ((454935.672238 5426740.063229, 454928.477638 5426700.482829, 455033.734137 5426666.301029, 455108.403337 5426627.619329, 455242.447837 5426553.851329, 455367.484537 5426495.385129, 455525.809637 5426445.911229, 455536.605437 5426485.491529, 455383.676837 5426532.266129, 455259.539337 5426592.530129, 455126.393537 5426665.399229, 455044.526937 5426706.779929, 454935.672238 5426740.063229))",30,131,Beiertheim
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248550,geom,Polygon,"[[[457218.46492266, 5428222.25296242], [457060.61739279, 5428275.7821344], [456907.26244192, 5428304.41217138], [456537.33968523, 5428248.56942541], [456192.64537651, 5428249.98675441], [455788.99019985, 5428253.10487741], [455491.3512001, 5428253.95527441], [455491.0677341, 5428234.11267442], [455744.57630289, 5428235.63829142], [455989.93344568, 5428234.56686242], [456337.43344539, 5428231.70971942], [456539.21915922, 5428231.70971942], [456818.50487299, 5428271.7097194], [456910.29058692, 5428285.63829139], [457054.57630179, 5428257.06686241], [457212.79058666, 5428204.20971944], [457218.46492266, 5428222.25296242]]]",,,102248550,Karlsruhe,2025-10-11T22:00:00Z,2025-10-17T21:59:59Z,Tunnelwartung,Kriegsstraße zw. Hirschstraße und Henriette-Obermüller-Straße (Karoline-Luise-Tunnel),,Tiefbauamt,Nachtarbeiten im Tunnel zw. 20.00 und 6.00 Uhr,mit Sperrung in eine Fahrtrichtung,44408,2024V5702,Stadt Karlsruhe,2025-09-24T22:00:00Z,"POLYGON ((457218.464923 5428222.252962, 457060.617393 5428275.782134, 456907.262442 5428304.412171, 456537.339685 5428248.569425, 456192.645377 5428249.986754, 455788.9902 5428253.104877, 455491.3512 5428253.955274, 455491.067734 5428234.112674, 455744.576303 5428235.638291, 455989.933446 5428234.566862, 456337.433445 5428231.709719, 456539.219159 5428231.709719, 456818.504873 5428271.709719, 456910.290587 5428285.638291, 457054.576302 5428257.066862, 457212.790587 5428204.209719, 457218.464923 5428222.252962))",33,041,Östlicher Teil
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102248550,geom,Polygon,"[[[457218.46492266, 5428222.25296242], [457060.61739279, 5428275.7821344], [456907.26244192, 5428304.41217138], [456537.33968523, 5428248.56942541], [456192.64537651, 5428249.98675441], [455788.99019985, 5428253.10487741], [455491.3512001, 5428253.95527441], [455491.0677341, 5428234.11267442], [455744.57630289, 5428235.63829142], [455989.93344568, 5428234.56686242], [456337.43344539, 5428231.70971942], [456539.21915922, 5428231.70971942], [456818.50487299, 5428271.7097194], [456910.29058692, 5428285.63829139], [457054.57630179, 5428257.06686241], [457212.79058666, 5428204.20971944], [457218.46492266, 5428222.25296242]]]",,,102248550,Karlsruhe,2025-10-11T22:00:00Z,2025-10-17T21:59:59Z,Tunnelwartung,Kriegsstraße zw. Hirschstraße und Henriette-Obermüller-Straße (Karoline-Luise-Tunnel),,Tiefbauamt,Nachtarbeiten im Tunnel zw. 20.00 und 6.00 Uhr,mit Sperrung in eine Fahrtrichtung,44408,2024V5702,Stadt Karlsruhe,2025-09-24T22:00:00Z,"POLYGON ((457218.464923 5428222.252962, 457060.617393 5428275.782134, 456907.262442 5428304.412171, 456537.339685 5428248.569425, 456192.645377 5428249.986754, 455788.9902 5428253.104877, 455491.3512 5428253.955274, 455491.067734 5428234.112674, 455744.576303 5428235.638291, 455989.933446 5428234.566862, 456337.433445 5428231.709719, 456539.219159 5428231.709719, 456818.504873 5428271.709719, 456910.290587 5428285.638291, 457054.576302 5428257.066862, 457212.790587 5428204.209719, 457218.464923 5428222.252962))",6,042,Mittlerer Teil
