type,totalFeatures,numberMatched,numberReturned,timeStamp,crs_type,crs_properties_name,feature_type,feature_id,geometry_name,geometry_type,geometry_coordinates,geometry_x,geometry_y,id,gemeinde,vorgangszeitraum_von,vorgangszeitraum_bis,art,lage,tagesbaustelle,verursacher,zusatzinfo,sperrung,projektnummer,vorgangsnummer,datenquelle,stand
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102249553,geom,Polygon,"[[[455083.93736744, 5428119.44527849], [455083.48382444, 5428108.9004075], [455093.57515343, 5428108.1067075], [455111.26332441, 5428106.6326935], [455118.63339541, 5428102.6641935], [455122.9420534, 5428098.5823075], [455130.3121244, 5428109.2405645], [455136.54833839, 5428118.31142149], [455108.76883842, 5428117.85787849], [455083.93736744, 5428119.44527849]]]",,,102249553,Karlsruhe,2026-09-28T22:00:00Z,2026-11-29T22:59:59Z,Gleisbau,Gartenstraße Einmündung Brauerstraße Westseite,,Verkehrsbetriebe Karlsruhe,,mit Verkehrsbehinderung,46471,2024V5788,Stadt Karlsruhe,2024-11-04T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102249556,geom,Polygon,"[[[455135.16273539, 5428118.36586549], [455129.7321914, 5428109.5641175], [455128.5993074, 5428107.7273175], [455142.17073539, 5428098.51303151], [455143.67073539, 5428102.3701745], [455146.74216438, 5428105.6558885], [455149.59930738, 5428107.7987465], [455157.02787838, 5428111.2987465], [455167.16071037, 5428114.1502555], [455180.83984136, 5428115.0501985], [455196.65900834, 5428116.27047949], [455204.32835034, 5428113.79027849], [455220.69820532, 5428100.6712875], [455226.28695032, 5428103.1205995], [455235.84617431, 5428094.84112451], [455243.0457103, 5428088.74133351], [455247.8855843, 5428094.35151351], [455243.2058813, 5428098.31126151], [455224.21547432, 5428114.2418595], [455218.00748132, 5428117.66003349], [455209.43820333, 5428121.17338149], [455199.06547234, 5428123.51323349], [455180.65538136, 5428123.64055049], [455151.96879438, 5428120.69252149], [455135.16273539, 5428118.36586549]]]",,,102249556,Karlsruhe,2026-03-01T23:00:00Z,2026-05-17T21:59:59Z,Gleisbau,Gartenstraße Einmündung Brauerstraße Ostseite bis Jollystraße,,Verkehrsbetriebe Karlsruhe,,mit Verkehrsbehinderung,46471,2024V5789,Stadt Karlsruhe,2024-10-08T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102250933,geom,Polygon,"[[[454609.99359883, 5428227.14125743], [454606.85074183, 5428221.06982843], [454658.20788479, 5428198.06982845], [454696.35074176, 5428180.85554246], [454728.70788473, 5428166.21268547], [454754.27931371, 5428154.78411447], [454775.20788469, 5428145.56982848], [454784.70788469, 5428141.21268548], [454795.70788468, 5428137.56982848], [454801.56502767, 5428136.14125748], [454808.35074167, 5428134.85554248], [454815.63645666, 5428133.92697149], [454829.20788465, 5428132.92697149], [454868.49359862, 5428129.85554249], [454868.42217062, 5428138.71268548], [454833.70788464, 5428141.99839948], [454803.49359867, 5428144.42697148], [454791.49359868, 5428147.14125748], [454780.56502769, 5428150.35554247], [454764.2078847, 5428156.64125747], [454717.49359874, 5428178.56982846], [454680.42217077, 5428195.28411445], [454609.99359883, 5428227.14125743]]]",,,102250933,Karlsruhe,2026-09-27T22:00:00Z,2026-11-28T22:59:59Z,Gleisbau,Gartenstraße zwischen Kriegsstraße und Lorenzstraße,,Verkehrsbetriebe Karlsruhe,,mit Vollsperrung,46472,2024V5995,Stadt Karlsruhe,2024-11-04T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102250934,geom,Polygon,"[[[454544.42217089, 5428257.85554241], [454538.85074189, 5428244.99839942], [454573.99359886, 5428228.14125743], [454579.27931386, 5428240.99839942], [454544.42217089, 5428257.85554241]]]",,,102250934,Karlsruhe,2026-09-27T22:00:00Z,2026-11-28T22:59:59Z,Gleisbau,Gartenstraße zwischen Kriegsstraße und Lorenzstraße,,Verkehrsbetriebe Karlsruhe,,mit Vollsperrung,46472,2024V5995,Stadt Karlsruhe,2024-11-04T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102253903,geom,Polygon,"[[[455186.33083735, 5428229.79912843], [455189.27709435, 5428226.42317443], [455333.49883723, 5428223.43912843], [455333.34657623, 5428219.59187843], [455341.02444522, 5428219.57621543], [455343.06113722, 5428225.98152843], [455405.68613717, 5428224.93842843], [455405.74412417, 5428239.17398242], [455350.14505021, 5428239.87342742], [455186.47541935, 5428241.89621642], [455186.33083735, 5428229.79912843]]]",,,102253903,Karlsruhe,2025-12-31T23:00:00Z,2026-06-30T21:59:59Z,Straßenbau,B 10 Kriegsstraße zw. Brauerstraße u. Hirschstraße,,Tiefbauamt,1-streifige Verkehrsführung in beide Fahrtrichtungen mit Überleitung auf die Gegenfahrbahn,mit Verkehrsbehinderung,48994,2024V6324,Stadt Karlsruhe,2025-05-11T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102253961,geom,Polygon,"[[[455340.14693722, 5428206.94312844], [455340.94826622, 5428221.17853243], [455333.20875723, 5428221.62850443], [455332.15793723, 5428207.46862844], [455340.14693722, 5428206.94312844]]]",,,102253961,Karlsruhe,2025-12-31T23:00:00Z,2026-06-30T21:59:59Z,Straßenbau,Leopoldstraße zw. Gartenstraße u. B 10 Kriegsstraße,,Tiefbauamt,Sperrung im Einmündungsbereich zur Kriegsstraße,mit Vollsperrung,48994,2024V6325,Stadt Karlsruhe,2024-11-04T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102257494,geom,Polygon,"[[[450917.79282891, 5428067.62503854], [450932.8714459, 5428078.31305353], [450981.02295786, 5428112.44377851], [450998.58084084, 5428125.7475285], [451152.01094071, 5428229.68272844], [451165.0815127, 5428238.60522943], [451178.07700769, 5428246.43741843], [451169.8121407, 5428254.09082843], [451159.71604071, 5428245.45742843], [451039.04624081, 5428162.70482848], [450979.94704886, 5428122.0381875], [450941.76219389, 5428095.88688852], [450918.66251791, 5428081.24862853], [450905.09221692, 5428070.97814653], [450910.96126091, 5428063.04292254], [450917.79282891, 5428067.62503854]]]",,,102257494,Karlsruhe,2026-01-11T23:00:00Z,2026-11-30T22:59:59Z,Haltestellenumbau mit Straßenumgestaltung,Kastenwörtstraße zw. Hammweg u. Pfalzstraße,,Verkehrsbetriebe Karlsruhe,,mit Vollsperrung,31400,2024V6803,Stadt Karlsruhe,2025-02-05T23:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102257656,geom,Polygon,"[[[458459.85960764, 5431546.43104746], [458431.50193467, 5431509.41342648], [458440.12023466, 5431515.75902648], [458442.48823466, 5431513.94752647], [458454.74353465, 5431529.91432647], [458452.62349465, 5431532.43087746], [458459.85960764, 5431546.43104746]]]",,,102257656,Karlsruhe,2025-10-12T22:00:00Z,2025-11-08T22:59:59Z,Straßenbau,Theodor-Heuss-Allee zw. Schneidemühler Straße u. Insterburger Straße,,Tiefbauamt,,mit Verkehrsbehinderung,31676,2024V6833,Stadt Karlsruhe,2025-06-30T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102257664,geom,Polygon,"[[[458398.7522047, 5431476.4403965], [458421.44373468, 5431509.84492648], [458413.32113468, 5431503.70522648], [458409.83841169, 5431504.00459348], [458399.62123469, 5431487.22752649], [458401.26083469, 5431486.05482649], [458398.7522047, 5431476.4403965]]]",,,102257664,Karlsruhe,2025-11-08T23:00:00Z,2025-12-15T22:59:59Z,Straßenbau,Theodor-Heuss-Allee zw.Insterburger Straße u.  Schneidemühler Straße,,Tiefbauamt,Arbeitsstelle im Seitenraum (Bushaltestelle),keine Verkehrsbehinderung,31676,2024V6836,Stadt Karlsruhe,2025-06-30T22:00:00Z
FeatureCollection,270,270,270,2025-10-06T14:15:33.080Z,name,urn:ogc:def:crs:EPSG::25832,Feature,baustellen_vorschau.102259413,geom,Polygon,"[[[455477.2392161, 5427118.39657708], [455480.1030801, 5427116.47647008], [455488.77104609, 5427129.63093207], [455506.60071308, 5427157.93413006], [455526.35693706, 5427188.67102904], [455546.52432504, 5427220.64549302], [455560.58438003, 5427242.07667501], [455571.80050202, 5427259.959247], [455586.07360701, 5427282.02305298], [455589.49063701, 5427279.85262898], [455590.76368601, 5427281.51922498], [455587.37343001, 5427283.93813698], [455611.94602599, 5427321.98816096], [455615.99062499, 5427325.75512696], [455624.12980898, 5427326.16935896], [455631.04651197, 5427325.82919296], [455638.87482497, 5427325.36585796], [455639.04059697, 5427328.83088295], [455615.21328799, 5427330.67660695], [455608.95925399, 5427323.10048796], [455590.00175801, 5427293.39263598], [455565.77233503, 5427256.262173], [455543.73838305, 5427222.50305502], [455537.23553905, 5427212.42996702], [455524.29291306, 5427191.30642004], [455515.73378107, 5427177.88453204], [455503.12479808, 5427158.30462806], [455490.35280609, 5427138.55397007], [455482.2167231, 5427126.26464708], [455477.2392161, 5427118.39657708]]]",,,102259413,Karlsruhe,2025-11-02T23:00:00Z,2026-02-28T22:59:59Z,Fernwärmeversorgung,Gebhardstraße zw. Kolpingplatz und Ebertstraße,,Stadtwerke Karlsruhe,"Abwicklung in mehreren Bauabschnitten, Aufteilung nicht vorgenommen",mit Sperrung in eine Fahrtrichtung,47730,2024V7075,Stadt Karlsruhe,2025-08-19T22:00:00Z
